datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Cloud_Cover_decimalFraction,Surface_Level_Barometric_Pressure_pascal
2010-04-01 00:00:00,2.42818491882311,1.87,95,0.117,0.88,100215
2010-04-01 00:10:00,2.43324022652923,1.89,94.958,0.154,0.88,100208.3
2010-04-01 00:20:00,2.55663920020014,1.95,94.792,0.236,0.88,100201.7
2010-04-01 00:30:00,2.67925232107765,2.02,94.625,0.318,0.88,100195
2010-04-01 00:40:00,2.80304566498657,2.09,94.458,0.399,0.88,100188.3
2010-04-01 00:50:00,2.92600102529032,2.15,94.292,0.481,0.88,100181.7
2010-04-01 01:00:00,3.04909642353272,2.22,94.125,0.563,0.88,100175
2010-04-01 01:10:00,3.13198786715402,2.28,94,0.64,0.88,100168.8
2010-04-01 01:20:00,3.09240957830621,2.33,94,0.704,0.88,100163.8
2010-04-01 01:30:00,3.05244967198478,2.38,94,0.767,0.88,100158.8
2010-04-01 01:40:00,3.01213578711186,2.43,94,0.831,0.88,100153.7
2010-04-01 01:50:00,2.97149793875076,2.48,94,0.895,0.88,100148.7
2010-04-01 02:00:00,2.93156101761502,2.53,94,0.958,0.88,100143.8
2010-04-01 02:10:00,2.88269058346538,2.57,93.958,0.987,0.88,100138.3
2010-04-01 02:20:00,2.80740307045497,2.59,93.792,0.911,0.88,100131.7
2010-04-01 02:30:00,2.7313082945724,2.61,93.625,0.835,0.88,100125
2010-04-01 02:40:00,2.6556590519116,2.63,93.458,0.759,0.88,100118.3
2010-04-01 02:50:00,2.57927528581189,2.65,93.292,0.683,0.88,100111.7
2010-04-01 03:00:00,2.50429431177727,2.67,93.125,0.607,0.88,100105
2010-04-01 03:10:00,2.45139837643742,2.7,92.917,0.558,0.88,100098.7
2010-04-01 03:20:00,2.46920817267399,2.79,92.583,0.592,0.88,100093.8
2010-04-01 03:30:00,2.48632459666875,2.88,92.25,0.626,0.88,100088.8
2010-04-01 03:40:00,2.50372562394524,2.97,91.917,0.66,0.88,100083.8
2010-04-01 03:50:00,2.52123144514739,3.06,91.583,0.694,0.88,100078.7
2010-04-01 04:00:00,2.53912819684237,3.15,91.25,0.728,0.88,100073.7
2010-04-01 04:10:00,2.58678738979453,3.25,91,0.778,0.88,100067.1
2010-04-01 04:20:00,2.72511889648874,3.39,91,0.876,0.88,100055.4
2010-04-01 04:30:00,2.86451461856979,3.53,91,0.974,0.88,100043.8
2010-04-01 04:40:00,3.00316649555099,3.67,91,1.072,0.88,100032.1
2010-04-01 04:50:00,3.14167550838721,3.81,91,1.17,0.88,100020.4
2010-04-01 05:00:00,3.2809384328268,3.95,91,1.268,0.88,100008.7
2010-04-01 05:10:00,3.39726139706676,4.05,91.083,1.51,0.88,100001.7
2010-04-01 05:20:00,3.44830451091547,4.04,91.417,2.182,0.88,100008.3
2010-04-01 05:30:00,3.49855770282555,4.02,91.75,2.854,0.88,100015
2010-04-01 05:40:00,3.54972125666228,4.01,92.083,3.527,0.88,100021.7
2010-04-01 05:50:00,3.60009402654986,4,92.417,4.199,0.88,100028.3
2010-04-01 06:00:00,3.65052393499892,3.99,92.75,4.871,0.88,100035
2010-04-01 06:10:00,3.69475804349892,3.98,93,6.941,0.88,100040.8
2010-04-01 06:20:00,3.71567194461513,4,93,13.207,0.88,100044.2
2010-04-01 06:30:00,3.73777741445368,4.01,93,19.473,0.88,100047.5
2010-04-01 06:40:00,3.75937361803798,4.03,93,25.739,0.88,100050.8
2010-04-01 06:50:00,3.78132807357415,4.04,93,32.005,0.88,100054.2
2010-04-01 07:00:00,3.80249444444039,4.06,93,38.271,0.88,100057.5
2010-04-01 07:10:00,3.8188443278039,4.08,93,45.084,0.87,100060
2010-04-01 07:20:00,3.81802252481569,4.13,93,53.539,0.85,100060
2010-04-01 07:30:00,3.81680245755528,4.18,93,61.994,0.82,100060
2010-04-01 07:40:00,3.8159816561404,4.23,93,70.449,0.79,100060
2010-04-01 07:50:00,3.81556037824066,4.28,93,78.904,0.76,100060
2010-04-01 08:00:00,3.81489514927999,4.33,93,87.359,0.73,100060
2010-04-01 08:10:00,3.79889036430377,4.37,93.042,95.988,0.71,100060
2010-04-01 08:20:00,3.73847308402776,4.38,93.208,105.137,0.68,100060
2010-04-01 08:30:00,3.67805655203941,4.4,93.375,114.287,0.65,100060
2010-04-01 08:40:00,3.61829158581782,4.41,93.542,123.438,0.62,100060
2010-04-01 08:50:00,3.55787703553678,4.42,93.708,132.588,0.6,100060
2010-04-01 09:00:00,3.49670487745249,4.43,93.875,141.738,0.57,100060
2010-04-01 09:10:00,3.46776311186332,4.46,93.958,153.504,0.54,100060
2010-04-01 09:20:00,3.53052573988634,4.53,93.792,173.121,0.51,100060
2010-04-01 09:30:00,3.59337793726182,4.6,93.625,192.738,0.48,100060
2010-04-01 09:40:00,3.65648711196963,4.67,93.458,212.354,0.46,100060
2010-04-01 09:50:00,3.71901304111723,4.74,93.292,231.971,0.43,100060
2010-04-01 10:00:00,3.78242951024867,4.82,93.125,251.588,0.4,100060
