datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
2009-01-01 00:00:00,3.560861,-0.526716,0
2009-01-02 00:00:00,6.162997,-0.585426,0
2009-01-03 00:00:00,3.826635,-0.639793,0
2009-01-04 00:00:00,5.397271,-0.696168,0
2009-01-05 00:00:00,5.417987,-0.742644,0
2009-01-06 00:00:00,3.886593,-0.784772,0
2009-01-07 00:00:00,5.806259,-0.821455,0
2009-01-08 00:00:00,5.65432,-0.85336,0
2009-01-09 00:00:00,4.725836,-0.873803,0
2009-01-10 00:00:00,5.821722,-0.906718,0
2009-01-11 00:00:00,5.724123,-0.926215,0
2009-01-12 00:00:00,5.495776,-0.936452,0
2009-01-13 00:00:00,5.473368,-0.947798,0
2009-01-14 00:00:00,5.513825,-0.955154,0
2009-01-15 00:00:00,2.666219,-0.95731,0
2009-01-16 00:00:00,5.319632,-0.954789,0
2009-01-17 00:00:00,4.022944,-0.947892,0
2009-01-18 00:00:00,5.130718,-0.937644,0
2009-01-19 00:00:00,3.868285,-0.923396,0
2009-01-20 00:00:00,5.004811,-0.906977,0
2009-01-21 00:00:00,4.917464,-0.885606,0
2009-01-22 00:00:00,4.83761,-0.860817,0
2009-01-23 00:00:00,4.760707,-0.832539,0
2009-01-24 00:00:00,4.674376,-0.800667,0
2009-01-25 00:00:00,4.610757,-0.766184,0
2009-01-26 00:00:00,4.55284,-0.728339,0
2009-01-27 00:00:00,4.491074,-0.686877,0
2009-01-28 00:00:00,4.436975,-0.642285,0
2009-01-29 00:00:00,4.38902,-0.594401,0
2009-01-30 00:00:00,4.337364,-0.542877,0
2009-01-31 00:00:00,4.172592,-0.487742,0
2009-02-01 00:00:00,3.854559,-0.46518,0
2009-02-02 00:00:00,4.336074,-0.415871,0
2009-02-03 00:00:00,3.881838,-0.346255,0
2009-02-04 00:00:00,3.823281,-0.279005,0
2009-02-05 00:00:00,4.185001,-0.209665,0
2009-02-06 00:00:00,4.435306,-0.150105,0
2009-02-07 00:00:00,4.992369,-0.178962,0
2009-02-08 00:00:00,4.609636,-0.108408,0
2009-02-09 00:00:00,6.40333,-0.122438,0
2009-02-10 00:00:00,9.732212,-0.38274,0
2009-02-11 00:00:00,8.861111,-0.31418,0
2009-02-12 00:00:00,9.25968,-0.224439,0
2009-02-13 00:00:00,8.055515,-0.158052,0
2009-02-14 00:00:00,6.09657,-0.080006,0
2009-02-15 00:00:00,6.838623,0.003269,0
2009-02-16 00:00:00,9.615687,0.088579,0
2009-02-17 00:00:00,7.51986,0.178601,0
2009-02-18 00:00:00,9.507784,0.276316,0
2009-02-19 00:00:00,9.718759,0.392137,0
2009-02-20 00:00:00,9.452322,0.518136,0
2009-02-21 00:00:00,9.455978,0.648433,0
2009-02-22 00:00:00,9.410849,0.783258,0
2009-02-23 00:00:00,9.17491,0.927285,0
2009-02-24 00:00:00,8.920261,1.076568,0
2009-02-25 00:00:00,9.557248,1.195553,0
2009-02-26 00:00:00,11.254006,1.242337,0
2009-02-27 00:00:00,11.818535,1.334431,0
